system,workload,baseline_MAPE_mean,baseline_MAPE_std,baseline_MAPE_min,baseline_MAPE_max,baseline_MAE_mean,baseline_MAE_std,baseline_MAE_min,baseline_MAE_max,baseline_RMSE_mean,baseline_RMSE_std,baseline_RMSE_min,baseline_RMSE_max,rf_MAPE_mean,rf_MAPE_std,rf_MAPE_min,rf_MAPE_max,rf_MAE_mean,rf_MAE_std,rf_MAE_min,rf_MAE_max,rf_RMSE_mean,rf_RMSE_std,rf_RMSE_min,rf_RMSE_max,MAPE_improvement_pct,rf_better_MAPE,MAE_improvement_pct,rf_better_MAE,RMSE_improvement_pct,rf_better_RMSE
batlik,village,56.94968631006319,2.472115527264749,50.16042440947699,62.90147096822102,1.7914449909568837,0.0441966048112119,1.7150295620043623,1.910567256106196,2.4545473167742817,0.1029589091013041,2.2388626578066675,2.6715981787438725,2.2059257846781395,0.0665279415097785,2.091467846427795,2.3958946685307283,0.1000240943287038,0.0067448153907294,0.0853921006944449,0.1167120659722226,0.2934638664856384,0.0489322130739977,0.1942724017251256,0.3699759044389938,96.12653567103435,True,94.41656903596706,True,88.04407376952493,True
dconvert,jpeg-large,13.573944886826228,0.2134752679542862,12.876501406181234,14.08384616835826,0.4186740566924771,0.0041744713517827,0.4095054725921341,0.4289413129874317,0.5638740750680945,0.008829020696402,0.545268035878893,0.5861451636040398,2.7830113055674124,0.0457292720878371,2.701000242363074,2.863605752278034,0.0920562299073233,0.0016513530260766,0.0896598413299135,0.0958613632633909,0.1313250123334863,0.0027920603589385,0.1261197926463673,0.1397750607517818,79.49740234860997,True,78.01243510654396,True,76.7102234097875,True
dconvert,jpeg-medium,10.287872150420744,0.1426778056550053,9.846746145783392,10.575493723114937,0.1783982976948107,0.0017506077139984,0.1750376267709557,0.183096578049918,0.2406484687453703,0.0038308251566598,0.2331340655851246,0.250178523679067,2.266029496029574,0.0344990526221007,2.212651231758769,2.3609912986354664,0.0394450335834193,0.0006774422547476,0.0383630318697413,0.0409511761349289,0.0532618975141038,0.0009963395482486,0.0515043534115886,0.0559904443287186,77.97377861138273,True,77.88934418483147,True,77.86734410080119,True
dconvert,jpeg-small,3.489690047118615,0.0367912212531004,3.4235922254276225,3.5642718428603324,0.0149668092135821,0.0001637811351773,0.0146768652906637,0.0152651228689474,0.0190825045728085,0.0002629044425626,0.0184303109115666,0.0195238443830103,3.3884713520274814,0.0607894851503637,3.2146224583456555,3.5320073978791653,0.014536964974513,0.0002581456003698,0.0137402637608124,0.015158929040597,0.0188236948813499,0.000357482581603,0.0176382002852338,0.0196656973798468,2.900506741987259,True,2.871983152421188,True,1.3562668908115278,True
dconvert,png-large,9.29312089419803,0.1247694313820957,8.908862156232637,9.514718617787052,0.2192655255945247,0.0025508629033324,0.2140334122108038,0.224087448955437,0.2798356094472051,0.0049650904171456,0.2717224881682905,0.2924859159391517,2.514672836013618,0.0340791092820568,2.43880391923378,2.5841652549502245,0.0608845313100884,0.0009217367247583,0.0591727562815596,0.0632194023130581,0.0805823620031937,0.001308576405756,0.0783670173748233,0.0852106064506573,72.94049152439625,True,72.23251072187303,True,71.20367841591772,True
dconvert,png-medium,3.563223050576188,0.0446087721946604,3.4982824951768583,3.658990827579981,0.0231521528629893,0.0003001361500126,0.0225647965708832,0.0237576243425558,0.0292331246774713,0.0003945735054114,0.0283165793273449,0.0298338905686756,2.737784624733466,0.0335065473495152,2.649274779611672,2.804021960702232,0.017374518563294,0.0002097395965245,0.016809400953425,0.0177464749262332,0.0220422341917559,0.0002708596924952,0.0213990704734807,0.0226707177252453,23.16549972108104,True,24.95506285694642,True,24.598432651495198,True
dconvert,png-small,3.3035440022088656,0.0508512023100782,3.19192112647515,3.4166950181267226,0.01484881848654,0.0002451777230491,0.0143060221569913,0.0153435629512687,0.0196305707206908,0.0004215761860973,0.0187659111067121,0.0204573993706948,3.515873468925785,0.0388310317293723,3.443082743883077,3.623467456843174,0.0157463982062627,0.0001912822462802,0.0153909401028942,0.0162405359132088,0.0207650487543217,0.0003833992361514,0.0201498654914627,0.0216727436577248,-6.427323703723892,False,-6.0447888196379225,False,-5.7791393320783655,False
dconvert,psd-large,1.4381112134142298,0.0163462180643482,1.410123196727091,1.475287246579326,0.5382117401458874,0.0064947890657436,0.5244203878569756,0.5549903345315549,0.8802723429634101,0.0184158527084101,0.8456738391169952,0.9324937480147432,1.5651207298287455,0.0313780659953567,1.511523945764749,1.6262497561304978,0.5869910060757898,0.0120480304628858,0.5678569321097974,0.6123584461196563,1.0001953905196654,0.0193620415135972,0.9656635704562532,1.04590420337222,-8.831689456963595,False,-9.06321105457127,False,-13.623402861043902,False
dconvert,psd-medium,5.207159450683232,0.058011046166676,5.084423014769008,5.298683216172603,0.0676100106260555,0.0009281491709805,0.0655278124642784,0.0697086122577038,0.0895324531237265,0.0019509847564879,0.085445243437598,0.0944323212212976,2.528647444552911,0.0330847470152845,2.464016144147472,2.6052984478902323,0.0325385713087439,0.0004521915324244,0.0314903249491101,0.0334820947311607,0.041678939034346,0.0007413647213589,0.0399757286736565,0.0431276357320992,51.43902412627048,True,51.873145696261425,True,53.44823292538502,True
dconvert,psd-small,3.571612159086269,0.0512511367447274,3.4832712791476284,3.65030064706806,0.0200047918499371,0.0002876468633846,0.0195071866125532,0.02045389450853,0.0249087259736684,0.0003406838400885,0.0241744861849321,0.0254751776924563,3.7832241034451126,0.0576023482597901,3.6566002606744497,3.924302438922634,0.0211404752451183,0.0003138736756967,0.0204581938571908,0.0219014003087864,0.0267849243838216,0.0003816270609421,0.0259455751561585,0.0275401696466003,-5.924829878868499,False,-5.677056795693526,False,-7.532293751742163,False
