system,workload,file_name,file_path,n_samples,n_features,target_name,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max
lrzip,fannie_mae_500k.tar,fannie_mae_500k.tar.csv,datasets\lrzip\fannie_mae_500k.tar.csv,191,11,time,11.977483973602368,0.9751635624003894,10.565489975473891,14.624365224050464,5.196967680734711,0.4976716738608057,4.43878841744627,6.741781432387474,7.482909354014641,0.9977650048621924,5.571994456726773,9.968822660913231
lrzip,large.tar,large.tar.csv,datasets\lrzip\large.tar.csv,191,11,time,97.7530542118247,17.169099258853773,69.50370532926698,148.51706519298384,2.2398167786620005,0.2053024500120595,1.839776560171696,2.738334505476312,2.9999028424290612,0.2925779201648253,2.308746689621335,3.6061516729365986
lrzip,misc.tar,misc.tar.csv,datasets\lrzip\misc.tar.csv,191,11,time,264.76444879012564,48.587848274628335,171.3629003937643,381.3748602898707,1.2541835669928454,0.06813077247900934,1.1415568989555493,1.3680741609117297,1.439056787533104,0.09683952468991602,1.2781495479827767,1.6497948354029437
lrzip,silesia.tar,silesia.tar.csv,datasets\lrzip\silesia.tar.csv,191,11,time,127.69615209706977,24.37820375704482,85.8028507678534,195.06889654336157,31.869696262269745,2.6830750425415952,27.433219035118587,39.963983593914215,46.03610688057981,6.252898475020657,35.32721734472974,62.07036255014348
lrzip,uiq-32.bin,uiq-32.bin.csv,datasets\lrzip\uiq-32.bin.csv,191,11,time,208.68028529558012,43.8693188874218,130.27629347013414,327.97455871380583,53.333075171913926,4.428259560903437,47.114131851133884,67.28456882417099,77.31870232720038,9.563542889818876,64.1224980989876,101.305896196029
lrzip,uiq2-16.bin,uiq2-16.bin.csv,datasets\lrzip\uiq2-16.bin.csv,191,11,time,188.94982077927068,39.65389761785264,122.17937298422127,294.07427260953074,29.11752408074705,2.5022587465859063,24.560299505261934,36.22965450582926,41.97922939283548,6.1189114607426065,32.69098659598025,57.09477267286158
lrzip,uiq2-4.bin,uiq2-4.bin.csv,datasets\lrzip\uiq2-4.bin.csv,191,11,time,123.23781999559029,25.24317948271518,89.9886052971366,203.00142726955946,7.006704021497317,0.7454953866861479,5.822724745837108,9.073233191630235,10.52120177969839,1.6062708379541581,8.023966769161673,14.419514089740359
lrzip,uiq2-8.bin,uiq2-8.bin.csv,datasets\lrzip\uiq2-8.bin.csv,191,11,time,150.14602334988518,30.42217029992722,102.31095430663044,234.81420681293542,14.535931724655184,1.3604454248394882,12.130220396791179,18.328294770724163,21.144976951333128,3.1184013825647297,15.74099880495055,28.67333760537815
lrzip,vmlinux-5.10.tar,vmlinux-5.10.tar.csv,datasets\lrzip\vmlinux-5.10.tar.csv,191,11,time,78.44795258885634,14.360446658552009,59.410849957343814,124.69442244521926,4.575913791099619,0.4851145199122064,3.8687159389770853,5.793756972861274,6.725672969978964,0.9607511339765862,4.90295250127139,9.010319801244043
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,3113,25,time,88.25980439863835,4.96015652719655,80.79988668491649,102.06235732907977,2.5822303216409064,0.05091678455264561,2.5062278027925395,2.6776921404305773,3.3628959853417024,0.07261613477829529,3.240404842696533,3.5573013363334325
